,channel_name,subscribers,views,videos,channel_title,channel_id
143,Data Analyst,79,5303,23,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
144,Data Analyst,79,5303,23,Data Analyst,UCVHAYGXptVYD_1hXgdmohvQ
145,Data Analyst,79,5303,23,Data Analyst,UCqRNhukhtRzqAKLi4PU7noQ
146,Data Analyst,79,5303,23,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
147,Data Analyst,79,5303,23,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
148,Data Analyst,79,5303,23,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
149,Data Analyst,79,5303,23,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
150,Data Analyst,79,5303,23,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
151,Data Analyst,79,5303,23,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
152,Data Analyst,79,5303,23,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
153,Data Analyst,79,5303,23,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
154,Data Analyst,79,5303,23,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
155,Amrutha V.P,0,0,0,Amrutha V.P,UCXYDHOcAUqaR0qyboSnYNxQ
156,5 Minutes Engineering,358000,48065602,1481,5 Minutes Engineering,UCyHta2dyCTkf29AB67AYn7A
157,Packt Video,83400,14001821,10546,Packt Video,UC3VydBGBl132baPCLeDspMQ
158,cyber school,8200,307721,290,cyber school,UCxmoqm-mAVVXXcOKDG6OpNQ
159,Himanshi J,0,0,0,Himanshi J,UCSoswFOM8JgEM95MJpH_r0w
160,Shafiqul Islam Tuhin,3,0,0,Shafiqul Islam Tuhin,UC7uGRxTkYqxKNA7r2S_uIQA
161,kapten shawn,10,223,7,kapten shawn,UC2yG_Qfod20aFRqAvbJ2wHA
162,SARNENDU PRADHAN,0,0,0,SARNENDU PRADHAN,UC2ebNA29oAVueutF1Z0VVDg
163,Ebbs Martey,2,76,4,Ebbs Martey,UCaTc-5o_nptygqsr3ttztgQ
164,Jayed Hussain,1,0,0,Jayed Hussain,UCiPhD0bc5krFn4OKeNoPITQ
165,Sulav Shrestha,4,73,1,Sulav Shrestha,UCfH1BHAFldghBCuqX1O4qEQ
166,BitTiger官方频道 BitTiger Official Channel,35600,1440550,623,BitTiger官方频道 BitTiger Official Channel,UCrTVwxlwmn2CJINfuaiLB1Q
167,Becky Pang - Data Analyst 求职和职场攻略,382,12830,37,Becky Pang - Data Analyst 求职和职场攻略,UCAGQgOvJbfVT5Bz_6GXHt4Q
168,Jorge Romero,0,0,0,Jorge Romero,UC4Apf_qvb1ud1qSs8xM56BA
169,Artyom Nedelko,0,0,0,Artyom Nedelko,UCEfsm0J_ypfXxDDLvHTl2xA
170,aiQuest Intelligence,1060,3663,24,aiQuest Intelligence,UC0zE2Xmvmv2W0PDWqCEyCQw
171,Farris Qureshi,0,22,2,Farris Qureshi,UCd9cYKp_W_9LwAxu64w-rDQ
172,Sasi Dhar,0,0,0,Sasi Dhar,UC0hXD2EBIyBZZ5SxvNgDcXg
173,keshav aggarwal,0,0,0,keshav aggarwal,UCyjQ0BecqLUAo46vSIIf5bQ
174,Nick Thomaidis,6,0,0,Nick Thomaidis,UCemhL-_dp8pIX8v98U4xPJA
175,Viral Host Media,0,13,2,Viral Host Media,UCP7AeIzfflj4Snv_v0aRZQw
176,Mega Bagus Herlambang,28000,905954,137,Mega Bagus Herlambang,UCl1pTA9Td9skCcznyLoTdZA
177,Clei and,0,128,24,Clei and,UCr3I7JflCT4QvtijSeooqug
178,swirlcrop,99,0,0,swirlcrop,UCWVRgdp5Qiz_wOZLWMjcBAw
179,Abdelsattar Amin,0,0,0,Abdelsattar Amin,UCSlOzYWypZr8QE1gRPtkUmg
180,Abhishek Verma,0,0,0,Abhishek Verma,UCsokDQw32MNZu7CQ77wOmdQ
181,Karim Wahba,0,0,0,Karim Wahba,UCAsDLK8HCpkkssPtqeIP_zQ
182,Wilmer Torres,3,0,0,Wilmer Torres,UCiroGJMIr7-fAJMLpWJYY9g
183,shipra shetty,0,0,0,shipra shetty,UCPLZdNyZAxMEL5Ddd93q-Eg
184,Gauri Todkari,0,0,0,Gauri Todkari,UCp3XDGzVjRU_zfdkDM2FjIg
185,Fauzi Arda,0,36,1,Fauzi Arda,UCLlQyoA3phIu7byAQ55mYfw
186,Krish Naik Hindi,39600,1022323,342,Krish Naik Hindi,UCjWY5hREA6FFYrthD0rZNIw
187,M Nurul Muttaqin,17,89,1,M Nurul Muttaqin,UCO8fQXqBnYXFSjWov7WBPHw
188,Abdul Ali,38,1195,15,Abdul Ali,UCAkxh_d_JrYPsspcaZ3qTMA
189,INDUSTRY CONNECT,774,125473,435,INDUSTRY CONNECT,UCDlfBlRZDPjyrKZU9FJQIUQ
190,Arkham Knight,0,0,0,Arkham Knight,UC6V416I6cw1m3pKtRRhv5QQ
191,Teria Agee,0,0,0,Teria Agee,UC0sg5DEbjCz3RsMzPHieYYQ
192,M A,1,0,0,M A,UCSiWFTFX39VxCPzu65vepxA
193,Andy xiong,0,0,0,Andy xiong,UCgRBKXoNNHrQUkXYr3ezTfA
194,Hnin Ei Wai Lwin,0,0,0,Hnin Ei Wai Lwin,UCp3wh9_L4J0aSsHSJRcvtkQ
195,Artem Serov,4,726,51,Artem Serov,UCizQAdfA7XHUmXM_Ki2xwDQ
196,Abhi Surana,0,0,0,Abhi Surana,UCcKnooH5bmyLJZEwMbWqnvg
197,Thắng Nguyễn,0,0,0,Thắng Nguyễn,UCR2q_vJm_xKFCrSteZuuX0w
198,Eren,1,51,5,Eren,UCrAIWSO6HuzYJe5mqNwmIeQ
199,Caribou Data Science,962,104755,4659,Caribou Data Science,UCEYlsdkxG4hY6c5-5d3gxCw
200,3 sisters,1,0,0,3 sisters,UCXbLQCqUJ5VyzpqQ-SKkEyw
201,Experfy,652,102145,200,Experfy,UCBO6cmewmk-FnEp3T8LxJMA
202,Nanini Mzamane,9,0,0,Nanini Mzamane,UCmyzKT_4dZov_Gb5pBmuhsQ
203,Tyger in Data Analyst,45,1264,4,Tyger in Data Analyst,UCW03TgE6kO7SX43sxc0EaWA
204,getvids123,2,23,1,getvids123,UC-oqbsCFmoV2Dep0VdDzt1g
205,DataLyfe,721,30508,31,DataLyfe,UCuagyOmcBIkvbdc4nr2SHwA
206,Sarah Gilliard,0,0,0,Sarah Gilliard,UCu5aaBZDtnRYgNdE2Dyl2QA
207,Maxwellrpg,49,14350,295,Maxwellrpg,UCkwHtyOnlSHLmltFTXT7yZg
208,ags911,165,42831,127,ags911,UCRfbpIzAKpb9-fP9csN1ASw
209,rohit roy,1,0,0,rohit roy,UCryEcwBTz-8eykAQQ3Du65Q
