,channel_name,subscribers,views,videos,published_date,channel_title,channel_id
218,Data Science Career Coach,40000,2349057,1696,2011-10-26T17:22:19Z,Data Science Career Coach,UCcLYXkT37EAs0Ocn1WZ2OxQ
220,The Data Scientist Show - Daliana Liu,6040,71736,49,2019-04-02T05:21:17Z,The Data Scientist Show - Daliana Liu,UCa0RTSXWyZdh7IciV9r-3ow
222,Mr Fugu Data Science,1860,197566,120,2018-07-24T18:35:26Z,Mr Fugu Data Science,UCbni-TDI-Ub8VlGaP8HLTNw
224,Data Interview Pro,31500,1182139,83,2020-09-09T22:12:50.297771Z,Data Interview Pro,UCAWsBMQY4KSuOuGODki-l7A
226,Data Science for Everyone,3350,180582,269,2020-07-24T23:14:31.742514Z,Data Science for Everyone,UCk13_EXljNVOEQTAbaJo8zA
228,Data Science Discovery,92,37904,143,2021-08-16T17:59:14.008184Z,Data Science Discovery,UCENZdgI5QqhRjo4VeAseUhA
230,Data Science Portugal,738,22261,65,2018-07-02T18:55:55Z,Data Science Portugal,UCHh0Dt0uUKKJtdBvgGJB66A
232,The Morpheus Tutorials,208000,31803441,2818,2011-07-24T10:18:15Z,The Morpheus Tutorials,UCLGY6_j7kZfA1dmmjR1J_7w
234,Data Science with Partha,116,3575,49,2020-12-19T18:04:52.876094Z,Data Science with Partha,UC9TEQJ6XTQguuQzjb9cK1vg
236,Data & Science with Glen Wright Colopy,1750,64217,114,2019-11-15T18:33:38.505805Z,Data & Science with Glen Wright Colopy,UCkEz2tDR5K6AjlKw-JrV57w
238,ExploreAI Academy,1370,21628,10,2017-11-12T05:22:08Z,ExploreAI Academy,UCaHBnY0vcGeVRi35JeABNuA
240,Data Science Institute,384,8245,40,2020-05-17T05:36:50.824253Z,Data Science Institute,UC2DZR6PvG3hEdFuKI1n29Cg
241,Data Science Institute,384,8245,40,2020-05-17T05:36:50.824253Z,Data Science Institute,UCGpXZDA-OSuoj2knIQdq-zA
244,BHF Data Science Centre,44,1116,26,2021-03-16T13:47:29.178706Z,BHF Data Science Centre,UCvpInOwkV-Di0Kt6HwizbDw
246,Super Data Science Podcast with Jon Krohn,4020,123179,350,2020-05-20T07:37:04.251317Z,Super Data Science Podcast with Jon Krohn,UCMbtqTGdSsxYYhhTpV4lSTQ
248,DataScience FEM,511,10277,87,2018-03-04T16:20:22Z,DataScience FEM,UC1TcfNUIWwzY49ivkxi7wmg
250,Data Science Guy,31500,999604,32,2020-05-26T09:07:26.551512Z,Data Science Guy,UCPJXxmrw1NRmOwdZtLM694g
252,Szymon,19,458,32,2007-07-17T17:24:14Z,Szymon,UCF-9Q4sQOeW3roS_YlizC8g
254,Bevan Smith Data Science,970,47136,44,2019-01-30T07:05:07Z,Bevan Smith Data Science,UCLWxzh4RUifJJqAL_WRzpzw
256,Life of a Data Scientist,2150,25797,24,2021-05-06T20:39:02.107928Z,Life of a Data Scientist,UC4RY5nIFI5zD-EbRF1xqpGw
258,UVA School of Data Science,466,40306,121,2017-10-26T13:33:02Z,UVA School of Data Science,UC4bIrRImqGd4Ye_KqLpLPeQ
260,Data Science For All,1750,28294,21,2019-09-13T22:31:08Z,Data Science For All,UCsh_olkwDzYfBOpvXvEy6lg
262,DATA SCIENCE IN TAMIL,1950,33152,119,2021-08-31T01:27:30.46358Z,DATA SCIENCE IN TAMIL,UCTCMjShTpZg96cXloCO9q1w
264,Art of Data Science,657,17074,43,2021-07-20T13:16:39.082587Z,Art of Data Science,UC31nn91mSmS3MEokVhwmQwg
266,Data Science Society,1280,78452,152,2014-11-13T10:06:26Z,Data Science Society,UC5Uikv2NXsZ4ZEWOGyW__3A
268,Data Science Era,1060,25066,11,2020-05-25T13:57:16.543945Z,Data Science Era,UCXuBy568tWjh8HkDfmQ8PYQ
270,The Data Monk,3390,156920,194,2021-06-08T16:38:50.376422Z,The Data Monk,UCGc-2PbLX8ZSby2GajcO0uw
272,Thu Vu data analytics,48900,1177747,43,2021-04-30T15:22:58.33437Z,Thu Vu data analytics,UCJQJAI7IjbLcpsjWdSzYz0Q
274,Data Academy,9080,224881,1196,2021-09-10T03:46:10.680598Z,Data Academy,UC-vwOrbubp58mIm9GJeEi1w
276,NYU Data Science,3430,191862,33,2014-09-08T19:43:49Z,NYU Data Science,UCjxoi1kA0twXJsVnIq2vMHA
278,MYANMAR DATA SCIENCE,7300,227444,201,2019-12-31T01:32:40.582365Z,MYANMAR DATA SCIENCE,UC0g9jkx4MwsojJfBt1MnWew
280,Data Science Central,361,2681,196,2019-07-15T23:41:46Z,Data Science Central,UCNFhJ21AoZNp-CiPeuvl7mw
282,Data Guru (Data Science),347,25819,42,2021-11-01T04:06:34.930268Z,Data Guru (Data Science),UCNeF1FuCGYsBEUnOxCk9Jnw
284,Muhammed Essa,259000,25520020,6300,2011-03-04T21:47:20Z,Muhammed Essa,UC7OGxluGpaD5NHMNoKj33pw
286,Trilha Data Science - UNIP,85,1383,38,2022-04-09T10:36:12.422472Z,Trilha Data Science - UNIP,UCEavMPoQKG8mKXdCg-P-mXw
288,Data Science Gurukul,115,905,13,2021-10-15T15:33:25.197801Z,Data Science Gurukul,UCKPmLadt_IHDQ0JPnX0eQQQ
290,Fahad Hussain,17800,1518647,800,2016-04-18T06:29:47Z,Fahad Hussain,UCapJpINJKHzflWwCQ8Kse2g
292,Data Science Solutions,3380,146087,103,2021-07-18T09:16:21.475877Z,Data Science Solutions,UC72TqRDC641fHrf_XjcQrZA
294,Total Data Science,2110,140395,253,2018-08-21T03:19:51Z,Total Data Science,UC7YlhTyLxk_B1ZcY8CUpCVQ
296,Colaberry School Of Data Science & Analytics,568,49731,209,2014-12-01T19:13:21Z,Colaberry School Of Data Science & Analytics,UCb23caPCK7xW8roOkr_iKRA
298,Data Science with Cyril,411,5444,40,2021-06-18T11:00:00.052217Z,Data Science with Cyril,UChEUUJtEdKZXNjQ1kS09FgQ
300,Data Science Jay,28400,1271892,117,2019-11-19T19:16:30.516571Z,Data Science Jay,UCcQx1UnmorvmSEZef4X7-6g
302,Data Science Philippines,202,3992,12,2017-02-23T06:11:56Z,Data Science Philippines,UCUVbXR1BpEzeuoGp8bzOm3g
304,Unacademy Computer Science,160000,32809745,4408,2014-12-30T15:59:12Z,Unacademy Computer Science,UCFWCFYvqnAMT-jcCqTp_SlA
306,Data Science Salon,1010,25057,137,2016-03-16T17:36:20Z,Data Science Salon,UCh-OliZQ5UhDS3LpfB0lk7w
308,Zero to Data Science,291,68646,52,2021-09-16T16:52:01.160288Z,Zero to Data Science,UCoqMuNeGPs8nhYefK20wOMg
310,UTxLab,1310,150333,135,2019-08-14T16:30:20Z,UTxLab,UCwF9iGns10no6ZmZUtEce6g
312,CodeXplore,41000,1718100,52,2017-02-21T14:40:40Z,CodeXplore,UCN03cDDMfrD6Iyxk20_dvmQ
314,Ghana Data Science Summit - IndabaX Ghana,80,1449,15,2019-07-17T21:48:45Z,Ghana Data Science Summit - IndabaX Ghana,UCQkTp8qQ3kh7xpXX9FDPKnw
316,Data Science Garage,12000,1666777,180,2011-09-06T19:22:43Z,Data Science Garage,UCLhx5RCmUl3cOti6vJq0DPA
317,Data Science Garage,12000,1666777,180,2011-09-06T19:22:43Z,Data Science Garage,UCOEuOH6cY8yisodud25hb7w
320,Data Science ,661,29366,100,2020-09-02T16:18:01.650492Z,Data Science ,UCCLmrYOW5jPEZHm142dgW4g
322,Dublin Data Science,116,1877,22,2021-01-25T21:34:00.189357Z,Dublin Data Science,UCkAyfZ4tAeO0j9dS-_yU7Gw
324,Data Science | Mit Mathe was bewegen,159,68815,5,2022-04-18T08:37:59.113626Z,Data Science | Mit Mathe was bewegen,UCguZSc1FvmvrupHh2E5jnbQ
326,Data Science Academy™,402,4988,28,2020-02-17T12:28:29.222829Z,Data Science Academy™,UCdINGxq7LOf9G3MaezZ1wxg
328,The Center of Applied Data Science,149,11787,84,2018-04-10T03:11:41Z,The Center of Applied Data Science,UCCCeiIgcGW7_q488GOEN-4w
330,Data Science and Software Engineering,10800,365184,286,2012-03-07T18:34:07Z,Data Science and Software Engineering,UCrhMuVw3B1FaEb1GKl3aYZw
332,Data Science 4 Marketing & Business,68,6289,62,2021-09-01T11:26:45.13486Z,Data Science 4 Marketing & Business,UCuxQADM0M4SX1NDT6pZMmlg
334,Instituto Data Science Argentina,5750,139122,95,2019-10-05T14:57:55Z,Instituto Data Science Argentina,UCy45Wq2N_vLRcpoV0_vNoaA
